product_name,categoria,packaging_tags,categories_tags,labels_tags,allergens_tags,additives_n,additives_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,main_category,energy_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-d_100g,vitamin-e_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-b12_100g,pantothenic-acid_100g,potassium_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,iodine_100g
acciuga,Pesce,0,"en:seafood,en:fishes,en:meals,en:meals-with-fish,en:meals-with-salmon,en:salmons",0,0,0.0,0,5.0,c,0.0,Composite foods,One-dish meals,en:salmons,1134.0,21.8,3.2,0.0,0.0,0.0,0.6,0.6,0.0,18.2,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aequilibrium bresaola di tacchino,Carne,plastica,"en:meats,en:beef,en:meat-preparations,en:beef-preparations,en:dried-meats,en:bresaola",en:gluten-free,0,3.0,"en:e250,en:e252,en:e301",12.0,d,4.0,Fish Meat Eggs,Meat,en:bresaola,751.0,1.7,0.6,0.0,0.0,0.0,2.5,2.2,0.0,38.0,4.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affettati mix,Carne,plastica,"en:meats,en:prepared-meats,en:hams,en:white-hams",0,0,2.0,"en:e250,en:e301",5.0,c,4.0,Fish Meat Eggs,Processed meat,en:white-hams,498.0,5.0,1.2,0.0,0.0,0.0,0.5,0.5,0.0,18.0,2.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albicocca,Frutta,0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:fruits,en:figs",en:organic,0,0.0,0,1.0,b,1.0,Fruits and vegetables,Fruits,en:figs,1162.0,1.3,0.2,0.3,0.6,0.0,55.0,55.0,13.0,3.5,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albicocca ricoperta di cioccolato extra fondente,Frutta,0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:fruits,en:apricots",0,0,0.0,0,2.0,b,0.0,Fruits and vegetables,Fruits,en:apricots,1293.0,3.6,1.9,0.0,0.0,0.0,62.0,52.7,7.3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albicocche,Frutta,film-plastique,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:dried-products,en:fruits,en:dried-plant-based-foods,en:dried-fruits,en:french-fruits,en:dried-prunes,fr:pruneaux-d-agen,fr:aliments-a-base-de-plantes-seches","en:certified-by-qualisud,en:no-preservatives,en:pgi",0,0.0,0,0.0,b,0.0,Fruits and vegetables,Dried fruits,fr:aliments-a-base-de-plantes-seches,803.0,0.3,0.1,0.0,0.0,0.0,43.2,38.1,5.2,1.5,0.01,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alici in olio di oliva,Pesce,"alu-41,gl-70","en:seafood,en:fishes,en:anchovy,en:fish-fillets,en:anchovy-fillets,en:anchovy-fillets-in-oil",en:sustainable-fishery,0,0.0,0,13.0,d,3.0,Fish Meat Eggs,Fish and seafood,en:anchovy-fillets-in-oil,855.0,10.7,1.6,0.0,0.0,0.0,0.0,0.0,0.0,27.0,14.5,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alici intere con peperoncino di calabria,Pesce,vetro,"en:snacks,en:canned-foods,en:salty-snacks,en:seafood,en:fishes,en:meals,en:canned-fishes,en:starters",en:made-in-italy,en:fish,0.0,0,5.0,c,3.0,Composite foods,One-dish meals,en:starters,879.0,12.0,4.5,0.0,0.0,0.0,2.0,0.0,0.0,22.0,1.1,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alici panate,Pesce,0,"en:seafood,en:fishes,en:frozen-foods,en:frozen-seafood,en:frozen-fishes",0,en:gluten,0.0,0,0.0,b,3.0,Fish Meat Eggs,Fish and seafood,en:frozen-fishes,1046.0,7.1,1.0,0.0,0.0,0.0,33.0,2.3,1.2,13.0,0.85,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amido di mais,Pasta e Cereali,scatola,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:starches,en:cereal-starches,en:corn-starch",en:gluten-free,0,0.0,0,3.0,c,3.0,Cereals and potatoes,Cereals,en:corn-starch,1487.0,0.5,0.1,0.0,0.0,0.0,86.0,0.0,1.0,0.5,0.01,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
