,product_name,allergens_tags,additives_tags,nutriscore_score,nutriscore_grade,pnns_groups_1,pnns_groups_2,main_category,energy-kj_100g,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,omega-9-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,starch_100g,polyols_100g,fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g
957,10 bastoncini di totano,0,0,1.0,b,Fish Meat Eggs,Fish and seafood,en:breaded-fish,0.0,207.0,866.0,0.0,7.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.7,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2128,100 % succo arancia,0,0,2.0,c,Beverages,Fruit juices,en:concentrated-orange-juices,0.0,41.0,172.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.6,0.0,0.0,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1595,100% spremuta arance rosse,0,0,3.0,c,Beverages,Fruit juices,en:blood-orange-juices,0.0,47.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.8,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,100% ziegenmilch milder ziegenkäse  käse,en:milk,0,8.0,c,Milk and dairy products,Cheese,en:industrial-cheese,634.0,153.0,634.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,8.7,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2727,4 salti in padella gnocchetti alla sorrentina piatti pronti surgelati ,"en:gluten,en:milk",0,1.0,b,Composite foods,One-dish meals,en:frozen-ready-made-meals,0.0,150.0,628.0,0.0,3.9,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,1.5,5.0,0.0,0.0,0.78,0.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2526,a pasta madre,0,0,-2.0,a,Cereals and potatoes,Bread,en:breads,0.0,286.0,1197.0,0.0,6.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,3.2,0.0,0.0,7.0,9.5,0.0,0.0,1.3,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2679,"abc della merenda parmareggio frullato 100% frutta gusto pesca, grissini, parmigiano reggiano dop",en:milk,0,2.0,b,unknown,unknown,en:snacks,0.0,129.0,538.0,0.0,4.2,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,10.4,0.0,0.0,0.0,4.97,0.0,0.0,0.363,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2460,activia 0% ciliegia,0,0,1.0,b,Milk and dairy products,Milk and yogurt,en:flavoured-bifidus-yogurts,0.0,220.0,920.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,8.0,0.0,0.0,0.0,4.1,0.0,0.0,0.22,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905,activia mix&go,en:nuts,0,-3.0,a,Sugary snacks,Sweets,en:almond-milk-yogurts,0.0,124.0,519.0,0.0,3.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,0.0,3.7,6.2,0.0,0.0,0.14,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2257,ad latte alta digeribilità,0,0,0.0,b,Milk and dairy products,Milk and yogurt,en:high-digestible-milk,197.0,47.0,197.0,0.0,1.55,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,4.9,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
