code	url	creator	created_t	last_modified_t	product_name	abbreviated_product_name	generic_name	quantity	packaging	packaging_tags	packaging_text	brands	brands_tags	categories	categories_tags	origins	origins_tags	manufacturing_places	manufacturing_places_tags	labels	labels_tags	emb_codes	emb_codes_tags	cities	cities_tags	purchase_places	stores	countries	ingredients_text	allergens	allergens_tags	traces	traces_tags	serving_size	serving_quantity	no_nutriments	additives_n	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	nutriscore_score	nutriscore_grade	nova_group	pnns_groups_1	pnns_groups_2	states	brand_owner	ecoscore_score_fr	ecoscore_grade_fr	main_category	image_url	image_small_url	image_front_url	image_front_small_url	image_ingredients_url	image_ingredients_small_url	image_nutrition_url	image_nutrition_small_url	energy-kj_100g	energy-kcal_100g	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	-butyric-acid_100g	-caproic-acid_100g	-caprylic-acid_100g	-capric-acid_100g	-lauric-acid_100g	-myristic-acid_100g	-palmitic-acid_100g	-stearic-acid_100g	-arachidic-acid_100g	-behenic-acid_100g	-lignoceric-acid_100g	-cerotic-acid_100g	-montanic-acid_100g	-melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	-alpha-linolenic-acid_100g	-eicosapentaenoic-acid_100g	-docosahexaenoic-acid_100g	omega-6-fat_100g	-linoleic-acid_100g	-arachidonic-acid_100g	-gamma-linolenic-acid_100g	-dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	-oleic-acid_100g	-elaidic-acid_100g	-gondoic-acid_100g	-mead-acid_100g	-erucic-acid_100g	-nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	-sucrose_100g	-glucose_100g	-fructose_100g	-lactose_100g	-maltose_100g	-maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	-soluble-fiber_100g	-insoluble-fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-dried_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	carbon-footprint-from-meat-or-fish_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
8076809570787	https://world.openfoodfacts.org/product/8076809570787	kiliweb	1618092928	1621709090	Preparato per zuppa di cereali e legumi			186 g	Carta	carta		Barilla	barilla	Zuppa di cereali	it:zuppa-di-cereali	Italia	en:italy	Villanova Monferrato	villanova-monferrato							Italia	On line	en:it	Farro (grano) 50%; piselli spezzati 10%, lenticchie verdi 10%, riso rosso 10%, lenticchie gialle 8%, granella di grano 5%, quinoa rossa 5%, lenticchie rosse 2%.		en:gluten	en:soybeans	en:soybeans				0		0			0			0	b	1	unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded				it:zuppa-di-cereali	https://static.openfoodfacts.org/images/products/807/680/957/0787/front_it.7.400.jpg	https://static.openfoodfacts.org/images/products/807/680/957/0787/front_it.7.200.jpg	https://static.openfoodfacts.org/images/products/807/680/957/0787/front_it.7.400.jpg	https://static.openfoodfacts.org/images/products/807/680/957/0787/front_it.7.200.jpg	https://static.openfoodfacts.org/images/products/807/680/957/0787/ingredients_it.10.400.jpg	https://static.openfoodfacts.org/images/products/807/680/957/0787/ingredients_it.10.200.jpg	https://static.openfoodfacts.org/images/products/807/680/957/0787/nutrition_it.5.400.jpg	https://static.openfoodfacts.org/images/products/807/680/957/0787/nutrition_it.5.200.jpg		105	439		0.7	0.2																																			18	0.4												5				0.61	0.244																																												0								
8012666011223	https://world.openfoodfacts.org/product/8012666011223	kiliweb	1617994283	1621705323	Riso originario							Carrefour	carrefour	Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Semi, Cereali e i loro prodotti, Semi di cereale, Riso	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:rices	Italy	en:italy										Carrefour	Italy																	-1	a		Cereals and potatoes	Cereals	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded				en:rices	https://static.openfoodfacts.org/images/products/801/266/601/1223/front_it.3.400.jpg	https://static.openfoodfacts.org/images/products/801/266/601/1223/front_it.3.200.jpg	https://static.openfoodfacts.org/images/products/801/266/601/1223/front_it.3.400.jpg	https://static.openfoodfacts.org/images/products/801/266/601/1223/front_it.3.200.jpg			https://static.openfoodfacts.org/images/products/801/266/601/1223/nutrition_it.11.400.jpg	https://static.openfoodfacts.org/images/products/801/266/601/1223/nutrition_it.11.200.jpg		351	1469		1.3	0.4																																			77	0.5									1.9			6.9				0	0																																												-1								
8004983005474	https://world.openfoodfacts.org/product/8004983005474	kiliweb	1611060712	1621689374	Yogurt extra cremoso caffè			150 g	carta,alluminio,C/PAP-81	carta,alluminio,c-pap-81		Latteria sociale Merano	latteria-sociale-merano	Latticini, Cibi fermentati, Prodotti lattiero-caseari fermentati, Yogurt, Yogurt al caffè	en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,it:yogurt-al-caffe	Italia	en:italy	via Cava, 5 - 39012 Merano (BZ) Italia	via-cava,5-39012-merano-bz-italia	latte fieno STG,Senza conservanti,Senza aromi,Senza glutine	en:no-gluten,en:no-flavors,en:no-preservatives,it:latte-fieno-stg	IT 41-2 EC	it-41-2-ec			Italia	Bennet	en:it	Yogurt (Latte Fieno STG intero, fermenti lattici dello yogurt: Streptococcus themophilus, Lactobacillus bulgaricus), preparazione al caffè 25% (zucchero, amido modificato di mais, caffè 2,5%, succo di limone da concentrato, zucchero caramellato), zucchero		en:milk			150g	150		0		0			0			5	c	3	Milk and dairy products	Milk and yogurt	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:packaging-photo-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded				it:yogurt-al-caffe	https://static.openfoodfacts.org/images/products/800/498/300/5474/front_it.19.400.jpg	https://static.openfoodfacts.org/images/products/800/498/300/5474/front_it.19.200.jpg	https://static.openfoodfacts.org/images/products/800/498/300/5474/front_it.19.400.jpg	https://static.openfoodfacts.org/images/products/800/498/300/5474/front_it.19.200.jpg	https://static.openfoodfacts.org/images/products/800/498/300/5474/ingredients_it.9.400.jpg	https://static.openfoodfacts.org/images/products/800/498/300/5474/ingredients_it.9.200.jpg	https://static.openfoodfacts.org/images/products/800/498/300/5474/nutrition_it.12.400.jpg	https://static.openfoodfacts.org/images/products/800/498/300/5474/nutrition_it.12.200.jpg	421	100	421		3.2	2.2																																			15	14												2.8				0.1	0.04	0																																											5								
8010445000444	https://world.openfoodfacts.org/product/8010445000444	openfoodfacts-contributors	1579953554	1621682819	Olio extravergine d'oliva			1l				clemente	clemente			Italia	en:italy									Italia	bennet	en:Italy	sale 0g  grassi 13.7 carboidrati 0g vitamine E 12 mg								0		0			0						unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded					https://static.openfoodfacts.org/images/products/801/044/500/0444/front_it.8.400.jpg	https://static.openfoodfacts.org/images/products/801/044/500/0444/front_it.8.200.jpg	https://static.openfoodfacts.org/images/products/801/044/500/0444/front_it.8.400.jpg	https://static.openfoodfacts.org/images/products/801/044/500/0444/front_it.8.200.jpg			https://static.openfoodfacts.org/images/products/801/044/500/0444/nutrition_it.10.400.jpg	https://static.openfoodfacts.org/images/products/801/044/500/0444/nutrition_it.10.200.jpg		824	3448		91.6	13																																			0	0												0				0	0	0																																																			
8030582700120	https://world.openfoodfacts.org/product/8030582700120	openfoodfacts-contributors	1578376838	1621680621	Uova biologiche			230 g	carta	carta		Via verde bio,Primia	via-verde-bio,primia	Prodotti agricoli, Uova, Uovo di gallina, Uova da galline allevate a terra	en:farming-products,en:eggs,en:chicken-eggs,en:barn-chicken-eggs	Italia	en:italy	Nuova Coccodì srl via Sacchini, 1 - 26037 San Giovanni in Croce (CR) Italia	nuova-coccodi-srl-via-sacchini,1-26037-san-giovanni-in-croce-cr-italia	Biologico,Biologico UE,en:it-bio-007	en:organic,en:eu-organic,en:it-bio-007	I-35-P	i-35-p			Italia	Tigros	Italia	Uova		en:eggs			115g	115		0		0			0			0	b	1	Fish Meat Eggs	Eggs	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:packaging-photo-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded				en:barn-chicken-eggs	https://static.openfoodfacts.org/images/products/803/058/270/0120/front_en.27.400.jpg	https://static.openfoodfacts.org/images/products/803/058/270/0120/front_en.27.200.jpg	https://static.openfoodfacts.org/images/products/803/058/270/0120/front_en.27.400.jpg	https://static.openfoodfacts.org/images/products/803/058/270/0120/front_en.27.200.jpg	https://static.openfoodfacts.org/images/products/803/058/270/0120/ingredients_it.16.400.jpg	https://static.openfoodfacts.org/images/products/803/058/270/0120/ingredients_it.16.200.jpg	https://static.openfoodfacts.org/images/products/803/058/270/0120/nutrition_en.29.400.jpg	https://static.openfoodfacts.org/images/products/803/058/270/0120/nutrition_en.29.200.jpg	533	128	533		8.7	3.2																																			0.5	0.5												12.4				0.3	0.12	0																																											0								
8013710500649	https://world.openfoodfacts.org/product/8013710500649	kiliweb	1605171734	1621637019	Aloe Vera Vita Good			1000	plastica	plastica		vita good	vita-good	bevanda	it:bevanda	Italia	en:italy	Verona	verona	plastica	it:plastica							en:it	Integratore alimentare a base di Aloe Vera gel ngredienti Aloe vera (Aloe Barbadensis Miller) gel foglare coirettori di acidità: acido citrico (0,3%o). conservan benzoato di sodio (0,1%), sorbato di potassio 0 antiossidanti: acido ascorbico (0,01%). tavola 2 volte al giorno fino ad un massimo di 60 ml, puro Modalità d'uso: si consiglia di assumere 2 cucchiai da o diluito in acqua o altra bevanda. Modalità di conservazione: conservare il barattolo ben chiuso in luogo asciutto e lontano da fonti di calore. Una Daperto conservare in frigorifero tra i 3-6 consumare entro 30 giorni. L'eventuale presenza di residuo sul fondo è dovuta allutilizzo di materie prime naturali di origine vegetale Avvertenze: non superare la dose consigliata. II prodoto deve essere tenuto fuori dalla portata dei bambini al di sotto dei 3 anni di età. termine minimo di conservazione si riferisce al prodotto in confezione integra e correttamente conservato. latori non vanno intesi come sostituti di una dieta varia, equilibrata e di un sano stile di vita. Lotto /								1	en:e330	0			0						unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded				it:bevanda	https://static.openfoodfacts.org/images/products/801/371/050/0649/front_it.3.400.jpg	https://static.openfoodfacts.org/images/products/801/371/050/0649/front_it.3.200.jpg	https://static.openfoodfacts.org/images/products/801/371/050/0649/front_it.3.400.jpg	https://static.openfoodfacts.org/images/products/801/371/050/0649/front_it.3.200.jpg	https://static.openfoodfacts.org/images/products/801/371/050/0649/ingredients_it.13.400.jpg	https://static.openfoodfacts.org/images/products/801/371/050/0649/ingredients_it.13.200.jpg	https://static.openfoodfacts.org/images/products/801/371/050/0649/nutrition_it.10.400.jpg	https://static.openfoodfacts.org/images/products/801/371/050/0649/nutrition_it.10.200.jpg																																																																																																															
8001630010515	https://world.openfoodfacts.org/product/8001630010515	openfoodfacts-contributors	1593448782	1621615206	activia con probiotico bifidus mix&go			170g	plastica	plastica		danone, Activia	danone,activia	Latticini, Cibi fermentati, Prodotti lattiero-caseari fermentati, Yogurt	en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts	Italia	en:italy	milano	milano			RPRZ972603D33	rprz972603d33			Italia	conad	en:Italy	latte scremato fermentato con lactobacillus bulgaricus, streptococcus thermophilus; probiotico: Bifidus actiregularis (bifidobacterium lactis CNCM I-2494), zucchero 3%.  ingredienti contenitore superiore: Fiocchi d'avena 50,6%, zucchero di canna, oligofruttosio, farro 6%, olio di semi di girasole, semi di chia 4%, estruso di farina di riso 3,4%, lamponi disidratati 3%, farina di frumento, fibra di acacia, destrosio, farina di segale, estruso di farina d'avena 0,4%, sale, germe di grano estratto di malto d'orzo.		en:gluten	en:eggs,en:milk,en:sesame-seeds,en:soybeans,it:di frutta a guscio e di altri cereali contenenti glutine.	en:eggs,en:milk,en:sesame-seeds,en:soybeans,it:di-frutta-a-guscio-e-di-altri-cereali-contenenti-glutine				0		0			0					4	Milk and dairy products	Milk and yogurt	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded				en:yogurts	https://static.openfoodfacts.org/images/products/800/163/001/0515/front_it.10.400.jpg	https://static.openfoodfacts.org/images/products/800/163/001/0515/front_it.10.200.jpg	https://static.openfoodfacts.org/images/products/800/163/001/0515/front_it.10.400.jpg	https://static.openfoodfacts.org/images/products/800/163/001/0515/front_it.10.200.jpg			https://static.openfoodfacts.org/images/products/800/163/001/0515/nutrition_it.12.400.jpg	https://static.openfoodfacts.org/images/products/800/163/001/0515/nutrition_it.12.200.jpg																																																																																																															
8002470029804	https://world.openfoodfacts.org/product/8002470029804	kiliweb	1609069215	1621608509	Olio extra vergine bio			0,75 L				Carapelli	carapelli	Cibi e bevande a base vegetale, Cibi a base vegetale, Grassi, Grassi vegetali, Prodotti dell'ulivo, Olio vegetale, Olio di oliva, Olio vergine di oliva, Olio extra vergine di oliva	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fats,en:vegetable-fats,en:olive-tree-products,en:vegetable-oils,en:olive-oils,en:virgin-olive-oils,en:extra-virgin-olive-oils	Italy	en:italy			Organic	en:organic							Italy																	6	c		Fat and sauces	Fats	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded				en:extra-virgin-olive-oils	https://static.openfoodfacts.org/images/products/800/247/002/9804/front_it.3.400.jpg	https://static.openfoodfacts.org/images/products/800/247/002/9804/front_it.3.200.jpg	https://static.openfoodfacts.org/images/products/800/247/002/9804/front_it.3.400.jpg	https://static.openfoodfacts.org/images/products/800/247/002/9804/front_it.3.200.jpg			https://static.openfoodfacts.org/images/products/800/247/002/9804/nutrition_it.26.400.jpg	https://static.openfoodfacts.org/images/products/800/247/002/9804/nutrition_it.26.200.jpg		821	3435		91	14																																			0	0												0				0	0																																												6								
8058669692670	https://world.openfoodfacts.org/product/8058669692670	mariach929	1621602574	1621602686	caffe			125	carta	carta		cuore nero	cuore-nero	crema al caffè	it:crema-al-caffe	Italia	en:italy	italia	italia	carta	it:carta							en:Italy						100g	100													unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded				it:crema-al-caffe	https://static.openfoodfacts.org/images/products/805/866/969/2670/front_it.3.400.jpg	https://static.openfoodfacts.org/images/products/805/866/969/2670/front_it.3.200.jpg	https://static.openfoodfacts.org/images/products/805/866/969/2670/front_it.3.400.jpg	https://static.openfoodfacts.org/images/products/805/866/969/2670/front_it.3.200.jpg	https://static.openfoodfacts.org/images/products/805/866/969/2670/ingredients_it.5.400.jpg	https://static.openfoodfacts.org/images/products/805/866/969/2670/ingredients_it.5.200.jpg	https://static.openfoodfacts.org/images/products/805/866/969/2670/nutrition_it.7.400.jpg	https://static.openfoodfacts.org/images/products/805/866/969/2670/nutrition_it.7.200.jpg					10																																				84	42												2.6				0.4	0.16																																																				
21121180	https://world.openfoodfacts.org/product/21121180	mariach929	1621599665	1621599866	Pastiera Napoletana			450	carta	carta		Giro tra i sapori	giro-tra-i-sapori	dolce	en:snacks,en:sweet-snacks,en:confectioneries	Italia	en:italy	Verona	verona	by	it:by					Italia	Eurospin	Italia	GRANO 19% (GRANO 40%, acqua, sale, correttore d'acidità: E330); farina di FRUMENTO; zucchero; RICOTTA 9,5 (siero di LATTE, crema di LATTE, correttore d'acidità: E330); RICOTTA di pecora 9,5% (siero di LATTE, LATTE, sale), zucchero, vanillina); UOVÀ pastorizzate*; margarina (grasso vegetale: cocco, acqua, olio vegetale: girasole, emulsionanti: E471, sale, aroma, correttori di acidità: acido citrico); tuorlo d'UOVO pastorizzato*; candiți mix 3% (scorza di cedro e d'arancio, zucchero, sciroppo di glucosio); miele; aromi; agenti lievitanti (E450i - E500ii-amido di FRUMENTO); emulsionante: lecitina [girasole]; cannella; vanillina; sale. *UOVA da allevamento a terra. Può contenere: FRUTTA A GUSCIO (NOCI COMUNI, NOCCIOLE, PISTACCHIO, MANDORLE), SOIA, SESAMO, ANIDRIDE SOLFOROSA, ARACHIDI. Conservare il prodotto a 0/+4°C, nella confezione originale ben sigillata. Dopo l'apertura conservare nella confezione originale e consumare entro pochi giorni.		en:eggs,en:gluten,en:milk	en:nuts,en:sesame-seeds,en:soybeans,it:anidride solforosa arachidi	en:nuts,en:peanuts,en:sesame-seeds,en:soybeans,en:sulphur-dioxide-and-sulphites,it:anidride-solforosa-arachidi	100g	100		6	en:e220,en:e322,en:e322i,en:e330,en:e450,en:e450i,en:e471,en:e500,en:e500ii	0			1		e471-mono-et-diglycerides-d-acides-gras-alimentaires			4	Sugary snacks	Sweets	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded				en:confectioneries	https://static.openfoodfacts.org/images/products/21121180/front_it.4.400.jpg	https://static.openfoodfacts.org/images/products/21121180/front_it.4.200.jpg	https://static.openfoodfacts.org/images/products/21121180/front_it.4.400.jpg	https://static.openfoodfacts.org/images/products/21121180/front_it.4.200.jpg	https://static.openfoodfacts.org/images/products/21121180/ingredients_it.7.400.jpg	https://static.openfoodfacts.org/images/products/21121180/ingredients_it.7.200.jpg																																																																																																																	
